place	year	type	number
KSDV	98	suit	1707
SLDV	93	suit	660
KSDV	103	suit	1692
PTDV	94	summary	473
TYDV	92	suit	1467
TNDV	99	suit	1236
SCDV	98	suit	316
TCDV	93	suit	2741
PTDV	91	suit	935
PTDV	91	suit	826
ULDV	101	suit	10
PTDV	101	suit	674
TNDV	102	summary	729
TPDV	103	summary	9156
TPDV	95	suit	11816
CYDV	92	suit	986
SCDV	101	suit	116
CHDV	95	suit	583
KSDV	98	suit	453
KSDV	92	suit	1959
KSDV	92	summary	788
CHDV	103	suit	529
TCDV	100	suit	909
HLDV	92	suit	31
HLDV	101	suit	355
KSDV	93	suit	2705
TNDV	93	suit	1654
TNDV	102	suit	186
SCDV	96	suit	338
MLDV	90	suit	66
PCDV	103	small	2375
TNDV	94	suit	126
TYDV	93	summary	991
CHDV	101	summary	43
TNDV	101	suit	326
TPDV	102	small	474
TPDV	97	suit	5199
TPDV	102	suit	530
CHDV	99	suit	545
SLDV	102	summary	1049
PCDV	102	summary	317
TPDV	94	suit	1822
TPDV	92	suit	1992
PCDV	101	suit	120
KLDV	99	suit	6
KSDV	103	suit	1267
KSDV	101	suit	2026
PCDV	102	summary	808
TCDV	94	summary	848
TPDV	88	suit	1709
TPDV	103	summary	7841
HLDV	95	suit	297
KSDV	88	suit	2408
TNDV	101	suit	1139
TYDV	93	suit	1604
TYDV	95	suit	459
KSDV	97	suit	1062
KSDV	91	suit	3330
KSDV	99	suit	1064
SLDV	94	suit	228
TPDV	92	suit	3448
KSDV	103	suit	111
TPDV	102	small	495
TNDV	98	small	1109
PCDV	102	suit	1266
TNDV	101	suit	1071
TCDV	101	suit	1716
PTDV	101	summary	385
KLDV	100	suit	43
TYDV	98	summary	290
NTDV	99	suit	291
SLDV	99	suit	23
TCDV	97	suit	1332
TPDV	97	suit	1
NTDV	92	summary	73
KSDV	92	suit	2882
SLDV	102	suit	1510
SCDV	103	summary	118
TYDV	87	suit	1274
PCDV	99	suit	204
SLDV	88	suit	1100
TTDV	88	summary	268
PCDV	97	summary	2918
TCDV	101	suit	45
TCDV	101	suit	330
KSDV	99	suit	1953
KSDV	99	suit	1734
PCDV	96	suit	331
TNDV	98	summary	284
PTDV	92	suit	291
TCDV	101	summary	271
KSDV	100	suit	73
PCDV	101	suit	2348
KLDV	98	suit	73
